UMAP1,UMAP2,cluster,kecamata,year,month
7.4970984,-2.3975391,4,Katapang,2022,2
15.485191,12.749374,3,Dayeuhkolot,2022,2
16.602272,-3.4776428,1,Rancaekek,2022,2
3.4402425,-3.1649604,6,Ciparay,2022,2
2.1192188,-2.7018697,2,Nagreg,2022,2
2.5675225,-3.241215,2,Cikancung,2022,2
2.2724745,-3.1776137,2,Cicalengka,2022,2
0.93907356,1.8267286,2,Ciwidey,2022,2
2.9007325,-3.2081156,2,Soreang,2022,2
-6.236005,6.5647764,5,Pasirjambu,2022,2
-1.1231862,7.088866,0,Kertasari,2022,2
16.69424,0.29191896,1,Baleendah,2022,2
1.187322,3.4610617,0,Pacet,2022,2
2.205787,-3.1167974,2,Paseh,2022,2
1.0866668,2.4054546,2,Ibun,2022,2
6.758255,-2.4784954,4,Majalaya,2022,2
7.719887,-2.3893807,4,Solokanjeruk,2022,2
5.6418333,9.617041,0,Padalarang,2022,2
17.09044,0.1243954,1,Batujajar,2022,2
3.1398306,-3.154483,2,Ngamprah,2022,2
2.992319,17.485891,7,Cipatat,2022,2
1.3000501,3.8700628,0,Lembang,2022,2
2.891791,17.212114,7,Cikalongwetan,2022,2
2.4644828,18.318735,7,Cipeundeuy,2022,2
1.4472547,4.1206694,0,Parongpong,2022,2
4.337118,10.203059,0,Cisarua,2022,2
5.049373,9.784581,0,Cililin,2022,2
2.8678732,16.9621,7,Cipongkor,2022,2
16.867525,0.20647943,1,Cihampelas,2022,2
2.5919695,16.616358,7,Gununghalu,2022,2
5.6105433,9.617124,0,Saguling,2022,2
2.7869678,16.920248,7,Rongga,2022,2
4.651842,10.079915,0,Sindangkerta,2022,2
14.989233,11.671437,3,Cimahi Tengah,2022,2
5.993656,-5.8860106,6,Cimahi Utara,2022,2
18.3627,0.40189728,1,Cimahi Selatan,2022,2
17.799896,11.266119,3,Panyileukan,2022,3
17.86593,11.215328,3,Cinambo,2022,3
4.9713874,-5.0949903,6,Ujungberung,2022,3
15.499421,-2.3518705,1,Gedebage,2022,3
11.208152,4.726198,4,Mandalajati,2022,3
5.1583357,-5.0733733,6,Coblong,2022,3
15.753819,10.018212,3,Babakan Ciparay,2022,3
5.773646,-4.9047427,6,Sukasari,2022,3
18.626802,1.1900127,1,Cicendo,2022,3
7.554251,-6.48215,6,Sukajadi,2022,3
7.737034,12.900762,7,Bojongloa Kaler,2022,3
17.127243,8.678353,3,Andir,2022,3
3.4047241,-2.1653798,2,Cidadap,2022,3
5.903172,-2.9576097,4,Bandung Wetan,2022,3
14.679936,8.495352,3,Astana Anyar,2022,3
16.635717,11.08267,3,Lengkong,2022,3
19.764662,3.0168264,1,Cibeunying Kidul,2022,3
15.904064,10.153947,3,Regol,2022,3
14.780798,8.674974,3,Batununggal,2022,3
16.600378,10.949586,3,Bojongloa Kidul,2022,3
5.0070877,-5.095353,6,Cibeunying Kaler,2022,3
15.420311,9.645782,3,Bandung Kulon,2022,3
15.025615,9.1005,3,Kiaracondong,2022,3
18.560905,1.1211706,1,Sumur Bandung,2022,3
14.654962,8.876526,3,Antapani,2022,3
17.112806,11.09171,3,Bandung Kidul,2022,3
16.873108,11.134549,3,Arcamanik,2022,3
4.862472,-5.6384325,6,Cibiru,2022,3
16.925997,11.31213,3,Buahbatu,2022,3
17.001457,11.184296,3,Rancasari,2022,3
-4.9221487,7.1518807,5,Rancabali,2022,3
0.01843436,-1.3009497,2,Kutawaringin,2022,3
1.3535532,-1.978283,2,Cangkuang,2022,3
1.6686146,0.20272791,2,Cimenyan,2022,3
1.3335133,0.9936921,2,Cilengkrang,2022,3
16.941181,2.0267477,1,Cileunyi,2022,3
15.468575,-2.3997626,1,Bojongsoang,2022,3
16.522848,-1.8339183,1,Margahayu,2022,3
0.5087388,1.5425749,2,Cimaung,2022,3
-5.105213,7.177909,5,Pangalengan,2022,3
2.0008786,-1.1347401,2,Arjasari,2022,3
17.474016,1.289302,1,Margaasih,2022,3
1.2829399,-1.4481807,2,Banjaran,2022,3
8.587029,-1.6317418,4,Pameungpeuk,2022,3
8.463688,-1.9178748,4,Katapang,2022,3
17.384285,11.1684675,3,Dayeuhkolot,2022,3
14.815409,-2.7037477,1,Rancaekek,2022,3
3.181095,-1.7001785,2,Ciparay,2022,3
0.65422744,-1.0536613,2,Nagreg,2022,3
1.2209597,-1.7173152,2,Cikancung,2022,3
2.3079786,-1.1571679,2,Cicalengka,2022,3
0.44673437,1.5957216,2,Ciwidey,2022,3
1.2653514,-2.1584487,2,Soreang,2022,3
-6.563989,6.544614,5,Pasirjambu,2022,3
-1.2015921,7.1353245,0,Kertasari,2022,3
16.957489,2.1726186,1,Baleendah,2022,3
0.916042,4.0533686,0,Pacet,2022,3
1.5798368,-1.4092577,2,Paseh,2022,3
0.60632455,2.1742203,2,Ibun,2022,3
6.493043,-2.2097323,4,Majalaya,2022,3
