kecamata,year,month,NDVI,NDWI,elevation,slope,kepadatan,rainfall,TEXTURE_USDA,DRAINAGE,AWC,GFI,cluster,cluster_sil
Panyileukan,2022,1,0.218312154,-0.212995762,676.2061013,1.999909341,8043,59.5,5,1,163.0,2.451522709,1,0
Cinambo,2022,1,0.227671601,-0.224411897,676.3132038,2.013278454,7019,59.5,5,1,163.0,2.596060012,2,0
Ujungberung,2022,1,0.230441709,-0.241432697,744.0672204,6.691497491,14294,59.5,5,3,155.0,1.26793346,2,0
Gedebage,2022,1,0.22046889,-0.207537343,665.1202848,1.068353522,4441,59.5,5,2,163.0,3.507374544,2,0
Mandalajati,2022,1,0.281411889,-0.289581754,730.6353977,7.245588901,11188,59.5,5,1,162.5573123,0.801084806,2,0
Coblong,2022,1,0.235052587,-0.248672155,784.0885513,6.116696021,15786,59.5,5,3,155.0,0.698000447,2,0
Babakan Ciparay,2022,1,0.136449067,-0.162369845,689.1033356,1.914559739,19439,59.5,5,1,162.3065835,1.902719225,1,0
Sukasari,2022,1,0.271507639,-0.285086669,881.3943057,4.900048569,12419,59.5,5,3,155.0,0.198286868,2,0
Cicendo,2022,1,0.199141318,-0.224309722,738.8740769,2.863867129,14091,59.5,5,2,158.3185753,1.865312507,2,0
Sukajadi,2022,1,0.182558909,-0.208805971,775.7825143,4.032984661,24093,59.5,5,3,155.0,1.385216523,2,0
Bojongloa Kaler,2022,1,0.089087768,-0.131886632,700.0348398,1.990692884,41281,59.5,5,1,162.9882745,1.88170844,1,0
Andir,2022,1,0.162584028,-0.20670976,726.0421423,2.325952286,26705,59.5,5,1,161.6402883,1.861181498,1,0
Cidadap,2022,1,0.374357681,-0.353198772,891.4066614,10.61846979,8988,59.5,5,3,155.0,0.61148618,2,1
Bandung Wetan,2022,1,0.210484727,-0.225833223,724.5543936,3.765866518,8537,59.5,5,3,156.1146189,1.514404466,2,0
Astana Anyar,2022,1,0.129866877,-0.173555523,695.6802372,2.135307616,25399,59.5,5,1,163.0,3.165426102,1,0
Lengkong,2022,1,0.160704945,-0.199307742,689.3803818,2.119958366,12064,59.5,5,1,161.9383042,2.281639281,1,0
Cibeunying Kidul,2022,1,0.162026725,-0.203443927,706.0380102,3.178331003,21735,59.5,5,2,159.1688711,2.546847523,1,0
Regol,2022,1,0.139820642,-0.158998094,688.9671317,2.237785641,18843,59.5,5,1,163.0,2.25671352,1,0
Batununggal,2022,1,0.169760005,-0.201848243,685.9084183,2.227793946,24230,59.5,5,1,162.8969978,3.150846688,1,0
Bojongloa Kidul,2022,1,0.094463847,-0.104545956,681.6153792,2.036778943,14150,59.5,5,1,162.1282841,2.49477235,1,0
Cibeunying Kaler,2022,1,0.205571467,-0.219170075,751.8594681,5.307763192,15817,59.5,5,3,155.0107456,1.144879944,2,0
Bandung Kulon,2022,1,0.144057298,-0.180617869,697.3418989,1.934010508,21235,59.5,5,1,163.0,2.249385761,1,0
Kiaracondong,2022,1,0.181997143,-0.208971325,683.5589248,2.092904293,21517,59.5,5,1,162.7993846,2.785807711,1,0
Sumur Bandung,2022,1,0.170907123,-0.19480885,708.1226705,3.45149773,11451,59.5,5,2,158.9264258,1.736807225,2,0
Antapani,2022,1,0.158017849,-0.20143759,681.8471192,1.499127962,21396,59.5,5,1,162.7975068,3.310198187,1,0
Bandung Kidul,2022,1,0.241541324,-0.248030872,673.9305069,1.990096966,10199,59.5,5,1,163.0,2.842583167,1,0
Arcamanik,2022,1,0.240543729,-0.260314475,679.9746058,1.818508368,13814,59.5,5,1,162.8890335,2.812108317,1,0
Cibiru,2022,1,0.247801477,-0.237908995,785.35146,7.465623757,12145,59.5,5,3,155.0,0.342744574,2,0
Buahbatu,2022,1,0.189662693,-0.207010583,672.589028,1.602151276,13282,59.5,5,1,163.0,2.972142212,1,0
Rancasari,2022,1,0.178066558,-0.185282455,668.239889,1.309723213,11910,59.5,5,1,163.0,3.152664359,1,0
Rancabali,2022,1,0.682237384,-0.591914502,1547.445406,16.43354319,346,59.5,6,3,121.2520915,-0.296879501,3,1
Kutawaringin,2022,1,0.638143019,-0.58091081,820.8765728,15.10492506,2194,59.5,5,3,155.8253243,0.23853883,3,1
Cangkuang,2022,1,0.361722101,-0.325364421,804.5197597,10.22103605,3303,59.5,5,3,159.3623188,0.79796976,2,1
Cimenyan,2022,1,0.388673456,-0.351586064,1058.769664,16.23277584,2178,59.5,5,3,155.1276662,-0.255179572,3,1
Cilengkrang,2022,1,0.410857968,-0.363583638,1267.992707,18.34791468,1894,59.5,5,3,155.660599,-0.664309804,3,1
Cileunyi,2022,1,0.229518694,-0.202988377,776.1531196,6.515332993,5988,59.5,5,2,159.3735294,1.625476147,2,0
Bojongsoang,2022,1,0.161813518,-0.141047148,662.4780609,1.035662016,4086,59.5,5,2,162.631412,3.790968509,1,0
Margahayu,2022,1,0.27715962,-0.290206737,665.8208893,2.194574958,11539,59.5,5,2,159.3303352,3.157977982,2,0
Cimaung,2022,1,0.50646305,-0.454561014,1221.676512,16.68690433,1589,59.5,5,3,162.0,-0.36656558,3,1
Pangalengan,2022,1,0.50916711,-0.437118787,1543.804092,15.21209008,797,59.5,6,3,126.6266303,-0.131864104,3,1
Arjasari,2022,1,0.491490086,-0.438961046,979.3344179,13.42380568,1648,59.5,5,3,159.0151506,0.137084124,3,1
Margaasih,2022,1,0.305986576,-0.30941011,681.4573232,3.861005696,8175,59.5,5,2,162.9259882,2.112364882,2,0
Banjaran,2022,1,0.502985651,-0.459266375,948.4412612,11.16871853,3122,59.5,5,3,160.4325031,0.505964598,3,1
Pameungpeuk,2022,1,0.419718863,-0.412709169,673.561656,3.690267493,5885,59.5,5,3,155.0,2.68350985,2,0
Katapang,2022,1,0.392043632,-0.394703297,665.717404,1.871496486,8440,59.5,5,3,155.0076653,2.961533707,2,0
Dayeuhkolot,2022,1,0.190816592,-0.194981489,665.4068291,2.29183804,9719,59.5,5,1,163.0,2.857472714,1,0
Rancaekek,2022,1,0.299735437,-0.276502553,666.9046874,0.897680321,4141,59.5,5,2,158.475683,3.465676392,2,0
Ciparay,2022,1,0.43371236,-0.387014746,808.3387506,7.179002185,3784,59.5,5,3,158.7873709,1.44275617,2,1
Nagreg,2022,1,0.535887837,-0.477500237,948.1701832,14.57481224,1204,59.5,5,3,161.989519,-0.334078354,3,1
Cikancung,2022,1,0.513467418,-0.467603581,859.7409318,9.938946553,2447,59.5,5,3,161.7498766,0.605460607,3,1
Cicalengka,2022,1,0.496942181,-0.439934817,910.5325365,11.93582785,3430,59.5,5,3,161.6721118,0.322039045,3,1
Ciwidey,2022,1,0.575060925,-0.525188077,1311.158545,15.55016913,1812,59.5,5,3,162.0,-0.088959935,3,1
Soreang,2022,1,0.526161154,-0.503397309,825.8017692,10.10348001,4622,59.5,5,3,157.4370907,0.40002523,3,1
Pasirjambu,2022,1,0.6477401,-0.565030063,1541.774459,18.43841422,385,59.5,6,3,138.3243264,-0.537663711,3,1
Kertasari,2022,1,0.421246111,-0.36124421,1749.638028,14.28415806,472,59.5,7,3,170.4975302,-0.142942229,3,1
Baleendah,2022,1,0.376653554,-0.354266736,711.1165148,7.590577608,6447,59.5,5,2,156.0325488,1.811834172,2,0
Pacet,2022,1,0.390853195,-0.339889346,1309.575852,17.96872487,1267,59.5,7,3,168.1317172,-0.442023681,3,1
Paseh,2022,1,0.487597146,-0.435822097,962.1928731,12.00924684,2702,59.5,5,3,162.1861795,0.330842705,3,1
Ibun,2022,1,0.435485638,-0.378912709,1180.999011,14.76833386,1615,59.5,6,3,166.5429231,-0.041591152,3,1
Majalaya,2022,1,0.335731973,-0.319109662,698.3982512,2.917364224,6365,59.5,5,3,159.8874215,1.975385542,2,0
Solokanjeruk,2022,1,0.341084876,-0.316044072,665.3706659,1.055151236,3652,59.5,5,3,156.8463639,3.315098818,2,0
Padalarang,2022,1,0.444986322,-0.402571108,697.1146079,10.22163823,3592,59.5,7,2,152.4804935,0.747319707,3,1
Batujajar,2022,1,0.488491009,-0.446148654,667.007808,5.239674837,3587,59.5,5,2,163.0,1.849645437,2,0
Ngamprah,2022,1,0.436834952,-0.4091434,800.7892414,9.812084586,5085,59.5,5,3,154.4905468,0.371906466,3,1
Cipatat,2022,1,0.654711339,-0.573863304,483.9717026,14.12830049,1141,59.5,10,3,137.201717,-0.050166744,3,1
Lembang,2022,1,0.409270762,-0.360058848,1335.618089,15.78934938,2049,59.5,8,3,170.3204533,-0.186004527,3,1
Cikalongwetan,2022,1,0.569501829,-0.492463712,666.8928851,13.71797856,1184,59.5,10,3,137.1851538,0.044290387,3,1
Cipeundeuy,2022,1,0.658545949,-0.554074561,300.6631486,9.321471886,882,59.5,9,3,139.6739791,1.438921013,3,1
Parongpong,2022,1,0.536928139,-0.488975249,1356.264006,12.97401048,2562,59.5,8,3,169.523386,0.093746221,3,1
Cisarua,2022,1,0.501271701,-0.449962133,1159.854908,16.12948233,1459,59.5,8,3,158.7680324,-0.391662008,3,1
Cililin,2022,1,0.5674725,-0.492151609,818.2831475,14.58869904,1259,59.5,7,3,151.5068756,0.630228578,3,1
Cipongkor,2022,1,0.663906283,-0.582935544,760.8617968,14.28102385,1287,59.5,9,3,139.7221784,0.259083466,3,1
Cihampelas,2022,1,0.434748452,-0.381812022,694.6112176,7.667304875,2942,59.5,5,2,161.1981874,1.498792676,2,0
Gununghalu,2022,1,0.657832987,-0.576860999,1182.734537,17.40246453,520,59.5,9,3,142.9971801,-0.260074635,3,1
Saguling,2022,1,0.582444515,-0.508492013,699.4828369,11.37622152,678,59.5,7,2,154.7144001,0.576712609,3,1
Rongga,2022,1,0.617901881,-0.53867311,881.801568,18.34244518,552,59.5,10,3,137.0,-0.220945714,3,1
Sindangkerta,2022,1,0.626716043,-0.557677649,1068.361648,16.65485706,710,59.5,7,3,152.6212376,-0.250586197,3,1
Cimahi Tengah,2022,1,0.266151357,-0.304684489,743.7058764,3.11047744,14848,87.0,5,1,163.0,1.778115737,2,0
Cimahi Utara,2022,1,0.360576405,-0.375186978,826.1275708,6.073988778,11882,87.0,5,3,156.1034483,0.85551765,2,1
Cimahi Selatan,2022,1,0.249652118,-0.268368191,722.0581007,4.998951156,13608,87.0,5,2,163.0,1.511110965,2,0
Panyileukan,2022,2,0.013728771,0.007824106,676.2061013,1.999909341,8043,117.1,5,1,163.0,2.451522709,1,0
Cinambo,2022,2,0.009743827,0.010755349,676.3132038,2.013278454,7019,117.1,5,1,163.0,2.596060012,1,0
Ujungberung,2022,2,-0.001113014,0.021728192,744.0672204,6.691497491,14294,117.1,5,3,155.0,1.26793346,1,0
Gedebage,2022,2,0.013086107,0.007336506,665.1202848,1.068353522,4441,117.1,5,2,163.0,3.507374544,1,0
Mandalajati,2022,2,-0.001003098,0.027250426,730.6353977,7.245588901,11188,117.1,5,1,162.5573123,0.801084806,1,0
Coblong,2022,2,0.00654505,0.016549627,784.0885513,6.116696021,15786,117.1,5,3,155.0,0.698000447,1,0
Babakan Ciparay,2022,2,0.028677384,-0.012714666,689.1033356,1.914559739,19439,117.1,5,1,162.3065835,1.902719225,1,0
Sukasari,2022,2,0.020794794,0.000366322,881.3943057,4.900048569,12419,117.1,5,3,155.0,0.198286868,0,0
Cicendo,2022,2,0.024330189,-0.002713131,738.8740769,2.863867129,14091,117.1,5,2,158.3185753,1.865312507,1,0
Sukajadi,2022,2,0.016383761,0.003806856,775.7825143,4.032984661,24093,117.1,5,3,155.0,1.385216523,1,0
Bojongloa Kaler,2022,2,0.00904693,0.008124656,700.0348398,1.990692884,41281,117.1,5,1,162.9882745,1.88170844,1,0
Andir,2022,2,0.013206821,0.007040919,726.0421423,2.325952286,26705,117.1,5,1,161.6402883,1.861181498,1,0
Cidadap,2022,2,0.021431554,0.001400278,891.4066614,10.61846979,8988,117.1,5,3,155.0,0.61148618,0,0
Bandung Wetan,2022,2,0.014639727,0.004825577,724.5543936,3.765866518,8537,117.1,5,3,156.1146189,1.514404466,1,0
Astana Anyar,2022,2,-0.005470336,0.021411458,695.6802372,2.135307616,25399,117.1,5,1,163.0,3.165426102,1,0
Lengkong,2022,2,0.0043025,0.018695971,689.3803818,2.119958366,12064,117.1,5,1,161.9383042,2.281639281,1,0
Cibeunying Kidul,2022,2,0.01087285,0.009267612,706.0380102,3.178331003,21735,117.1,5,2,159.1688711,2.546847523,1,0
Regol,2022,2,0.016579429,-0.000936305,688.9671317,2.237785641,18843,117.1,5,1,163.0,2.25671352,1,0
Batununggal,2022,2,0.009556753,0.010688601,685.9084183,2.227793946,24230,117.1,5,1,162.8969978,3.150846688,1,0
Bojongloa Kidul,2022,2,0.02024176,-0.003133088,681.6153792,2.036778943,14150,117.1,5,1,162.1282841,2.49477235,1,0
Cibeunying Kaler,2022,2,0.01650067,0.00601487,751.8594681,5.307763192,15817,117.1,5,3,155.0107456,1.144879944,1,0
Bandung Kulon,2022,2,0.026869625,-0.011257383,697.3418989,1.934010508,21235,117.1,5,1,163.0,2.249385761,1,0
Kiaracondong,2022,2,0.01358145,0.007235259,683.5589248,2.092904293,21517,117.1,5,1,162.7993846,2.785807711,1,0
Sumur Bandung,2022,2,0.01109833,0.010221548,708.1226705,3.45149773,11451,117.1,5,2,158.9264258,1.736807225,1,0
Antapani,2022,2,-0.011463562,0.032250764,681.8471192,1.499127962,21396,117.1,5,1,162.7975068,3.310198187,1,0
Bandung Kidul,2022,2,0.027395311,-0.007649603,673.9305069,1.990096966,10199,117.1,5,1,163.0,2.842583167,1,0
Arcamanik,2022,2,1.49e-05,0.019640165,679.9746058,1.818508368,13814,117.1,5,1,162.8890335,2.812108317,1,0
Cibiru,2022,2,0.009903615,0.006494653,785.35146,7.465623757,12145,117.1,5,3,155.0,0.342744574,0,0
Buahbatu,2022,2,0.005068306,0.017032969,672.589028,1.602151276,13282,117.1,5,1,163.0,2.972142212,1,0
Rancasari,2022,2,0.011453763,0.007866539,668.239889,1.309723213,11910,117.1,5,1,163.0,3.152664359,1,0
Rancabali,2022,2,0.00451293,0.024183482,1547.445406,16.43354319,346,117.1,6,3,121.2520915,-0.296879501,0,1
Kutawaringin,2022,2,0.031622388,-0.00624206,820.8765728,15.10492506,2194,117.1,5,3,155.8253243,0.23853883,0,1
Cangkuang,2022,2,0.028717128,-0.003067589,804.5197597,10.22103605,3303,117.1,5,3,159.3623188,0.79796976,0,0
Cimenyan,2022,2,0.042165631,-0.021599203,1058.769664,16.23277584,2178,117.1,5,3,155.1276662,-0.255179572,0,1
Cilengkrang,2022,2,0.019541451,-0.005124022,1267.992707,18.34791468,1894,117.1,5,3,155.660599,-0.664309804,0,1
Cileunyi,2022,2,0.020741965,-0.007884487,776.1531196,6.515332993,5988,117.1,5,2,159.3735294,1.625476147,1,0
Bojongsoang,2022,2,0.019215093,0.000692644,662.4780609,1.035662016,4086,117.1,5,2,162.631412,3.790968509,1,0
Margahayu,2022,2,0.046629727,-0.027039273,665.8208893,2.194574958,11539,117.1,5,2,159.3303352,3.157977982,1,0
Cimaung,2022,2,0.068846617,-0.040130807,1221.676512,16.68690433,1589,117.1,5,3,162.0,-0.36656558,0,1
Pangalengan,2022,2,0.058890434,-0.033067305,1543.804092,15.21209008,797,117.1,6,3,126.6266303,-0.131864104,0,1
Arjasari,2022,2,0.0399359,-0.023923212,979.3344179,13.42380568,1648,117.1,5,3,159.0151506,0.137084124,0,1
Margaasih,2022,2,0.032779613,-0.014497091,681.4573232,3.861005696,8175,117.1,5,2,162.9259882,2.112364882,1,0
Banjaran,2022,2,0.065148716,-0.040842583,948.4412612,11.16871853,3122,117.1,5,3,160.4325031,0.505964598,0,1
Pameungpeuk,2022,2,0.061096078,-0.033019165,673.561656,3.690267493,5885,117.1,5,3,155.0,2.68350985,1,0
Katapang,2022,2,0.041751139,-0.018130933,665.717404,1.871496486,8440,117.1,5,3,155.0076653,2.961533707,1,0
Dayeuhkolot,2022,2,0.032179889,-0.013722243,665.4068291,2.29183804,9719,117.1,5,1,163.0,2.857472714,1,0
Rancaekek,2022,2,0.026754979,-0.009611623,666.9046874,0.897680321,4141,117.1,5,2,158.475683,3.465676392,1,0
Ciparay,2022,2,0.024507374,0.00079908,808.3387506,7.179002185,3784,117.1,5,3,158.7873709,1.44275617,1,0
Nagreg,2022,2,0.058235183,-0.037795616,948.1701832,14.57481224,1204,117.1,5,3,161.989519,-0.334078354,0,1
Cikancung,2022,2,0.055441197,-0.04032523,859.7409318,9.938946553,2447,117.1,5,3,161.7498766,0.605460607,0,0
Cicalengka,2022,2,0.061258228,-0.045978529,910.5325365,11.93582785,3430,117.1,5,3,161.6721118,0.322039045,0,1
Ciwidey,2022,2,0.036552685,-0.00607209,1311.158545,15.55016913,1812,117.1,5,3,162.0,-0.088959935,0,1
Soreang,2022,2,0.034548272,-0.008827019,825.8017692,10.10348001,4622,117.1,5,3,157.4370907,0.40002523,0,0
Pasirjambu,2022,2,0.028868362,-0.001049858,1541.774459,18.43841422,385,117.1,6,3,138.3243264,-0.537663711,0,1
Kertasari,2022,2,0.037119613,-0.022034981,1749.638028,14.28415806,472,117.1,7,3,170.4975302,-0.142942229,0,1
Baleendah,2022,2,0.032268862,-0.00765908,711.1165148,7.590577608,6447,117.1,5,2,156.0325488,1.811834172,1,0
Pacet,2022,2,0.018921936,0.001929276,1309.575852,17.96872487,1267,117.1,7,3,168.1317172,-0.442023681,0,1
Paseh,2022,2,0.035431565,-0.022312649,962.1928731,12.00924684,2702,117.1,5,3,162.1861795,0.330842705,0,1
Ibun,2022,2,0.018861555,-0.005714932,1180.999011,14.76833386,1615,117.1,6,3,166.5429231,-0.041591152,0,1
Majalaya,2022,2,0.025258111,-0.00459794,698.3982512,2.917364224,6365,117.1,5,3,159.8874215,1.975385542,1,0
Solokanjeruk,2022,2,0.034663639,-0.003990828,665.3706659,1.055151236,3652,117.1,5,3,156.8463639,3.315098818,1,0
Padalarang,2022,2,0.049044821,-0.022546935,697.1146079,10.22163823,3592,117.1,7,2,152.4804935,0.747319707,0,0
Batujajar,2022,2,0.05073212,-0.02491757,667.007808,5.239674837,3587,117.1,5,2,163.0,1.849645437,1,0
Ngamprah,2022,2,0.051497005,-0.026048878,800.7892414,9.812084586,5085,117.1,5,3,154.4905468,0.371906466,0,0
Cipatat,2022,2,0.032678377,-0.00185492,483.9717026,14.12830049,1141,117.1,10,3,137.201717,-0.050166744,0,1
Lembang,2022,2,0.019778129,-9.61e-05,1335.618089,15.78934938,2049,117.1,8,3,170.3204533,-0.186004527,0,1
Cikalongwetan,2022,2,0.049783298,-0.021958821,666.8928851,13.71797856,1184,117.1,10,3,137.1851538,0.044290387,0,1
Cipeundeuy,2022,2,0.036282184,-0.003014733,300.6631486,9.321471886,882,117.1,9,3,139.6739791,1.438921013,0,1
Parongpong,2022,2,0.015298485,0.004209473,1356.264006,12.97401048,2562,117.1,8,3,169.523386,0.093746221,0,1
Cisarua,2022,2,0.023990235,-0.00448147,1159.854908,16.12948233,1459,117.1,8,3,158.7680324,-0.391662008,0,1
Cililin,2022,2,0.039589582,-0.006441927,818.2831475,14.58869904,1259,117.1,7,3,151.5068756,0.630228578,0,1
Cipongkor,2022,2,0.059026078,-0.024526666,760.8617968,14.28102385,1287,117.1,9,3,139.7221784,0.259083466,0,1
Cihampelas,2022,2,0.051941411,-0.021108752,694.6112176,7.667304875,2942,117.1,5,2,161.1981874,1.498792676,1,0
Gununghalu,2022,2,-0.00609337,0.036126444,1182.734537,17.40246453,520,117.1,9,3,142.9971801,-0.260074635,0,1
Saguling,2022,2,0.031063058,-0.006008696,699.4828369,11.37622152,678,117.1,7,2,154.7144001,0.576712609,0,0
Rongga,2022,2,-0.004272122,0.033740716,881.801568,18.34244518,552,117.1,10,3,137.0,-0.220945714,0,1
Sindangkerta,2022,2,0.022571538,0.008865158,1068.361648,16.65485706,710,117.1,7,3,152.6212376,-0.250586197,0,1
Cimahi Tengah,2022,2,0.014733689,0.006141847,743.7058764,3.11047744,14848,98.0,5,1,163.0,1.778115737,1,0
Cimahi Utara,2022,2,0.029379431,-0.008665643,826.1275708,6.073988778,11882,98.0,5,3,156.1034483,0.85551765,1,0
Cimahi Selatan,2022,2,0.025982376,-0.005794393,722.0581007,4.998951156,13608,98.0,5,2,163.0,1.511110965,1,0
Panyileukan,2022,3,0.09027133,-0.064231666,676.2061013,1.999909341,8043,238.9,5,1,163.0,2.451522709,1,0
Cinambo,2022,3,0.064046138,-0.034537029,676.3132038,2.013278454,7019,238.9,5,1,163.0,2.596060012,1,0
Ujungberung,2022,3,0.079887859,-0.054232842,744.0672204,6.691497491,14294,238.9,5,3,155.0,1.26793346,1,0
Gedebage,2022,3,0.10040605,-0.069652698,665.1202848,1.068353522,4441,238.9,5,2,163.0,3.507374544,1,0
Mandalajati,2022,3,0.143911878,-0.124473968,730.6353977,7.245588901,11188,238.9,5,1,162.5573123,0.801084806,1,0
Coblong,2022,3,0.061711202,-0.031374583,784.0885513,6.116696021,15786,238.9,5,3,155.0,0.698000447,1,0
Babakan Ciparay,2022,3,0.054186537,-0.038950581,689.1033356,1.914559739,19439,238.9,5,1,162.3065835,1.902719225,1,0
Sukasari,2022,3,0.071251009,-0.044673429,881.3943057,4.900048569,12419,238.9,5,3,155.0,0.198286868,0,0
Cicendo,2022,3,0.050234637,-0.028234651,738.8740769,2.863867129,14091,238.9,5,2,158.3185753,1.865312507,1,0
Sukajadi,2022,3,0.039724968,-0.020416401,775.7825143,4.032984661,24093,238.9,5,3,155.0,1.385216523,1,0
Bojongloa Kaler,2022,3,0.013290309,-0.004613017,700.0348398,1.990692884,41281,238.9,5,1,162.9882745,1.88170844,1,0
Andir,2022,3,0.021911136,-0.006737251,726.0421423,2.325952286,26705,238.9,5,1,161.6402883,1.861181498,1,0
Cidadap,2022,3,0.128674722,-0.089321594,891.4066614,10.61846979,8988,238.9,5,3,155.0,0.61148618,0,0
Bandung Wetan,2022,3,0.030646198,-0.011619903,724.5543936,3.765866518,8537,238.9,5,3,156.1146189,1.514404466,1,0
Astana Anyar,2022,3,0.010852636,0.006811037,695.6802372,2.135307616,25399,238.9,5,1,163.0,3.165426102,1,0
Lengkong,2022,3,0.014659012,0.008047439,689.3803818,2.119958366,12064,238.9,5,1,161.9383042,2.281639281,1,0
Cibeunying Kidul,2022,3,0.058702482,-0.045444318,706.0380102,3.178331003,21735,238.9,5,2,159.1688711,2.546847523,1,0
Regol,2022,3,0.016556002,0.006726072,688.9671317,2.237785641,18843,238.9,5,1,163.0,2.25671352,1,0
Batununggal,2022,3,0.064523441,-0.050479482,685.9084183,2.227793946,24230,238.9,5,1,162.8969978,3.150846688,1,0
Bojongloa Kidul,2022,3,0.037866897,-0.01808126,681.6153792,2.036778943,14150,238.9,5,1,162.1282841,2.49477235,1,0
Cibeunying Kaler,2022,3,0.062628429,-0.032847342,751.8594681,5.307763192,15817,238.9,5,3,155.0107456,1.144879944,1,0
Bandung Kulon,2022,3,0.066454874,-0.060631158,697.3418989,1.934010508,21235,238.9,5,1,163.0,2.249385761,1,0
Kiaracondong,2022,3,0.070455439,-0.058389864,683.5589248,2.092904293,21517,238.9,5,1,162.7993846,2.785807711,1,0
Sumur Bandung,2022,3,0.023249727,-0.00406282,708.1226705,3.45149773,11451,238.9,5,2,158.9264258,1.736807225,1,0
Antapani,2022,3,0.035962501,-0.022888523,681.8471192,1.499127962,21396,238.9,5,1,162.7975068,3.310198187,1,0
Bandung Kidul,2022,3,0.023347217,0.006753894,673.9305069,1.990096966,10199,238.9,5,1,163.0,2.842583167,1,0
Arcamanik,2022,3,0.041115244,-0.019980806,679.9746058,1.818508368,13814,238.9,5,1,162.8890335,2.812108317,1,0
Cibiru,2022,3,0.164701516,-0.128509458,785.35146,7.465623757,12145,238.9,5,3,155.0,0.342744574,0,0
Buahbatu,2022,3,0.032241144,-0.008905613,672.589028,1.602151276,13282,238.9,5,1,163.0,2.972142212,1,0
Rancasari,2022,3,0.036630357,-0.010266854,668.239889,1.309723213,11910,238.9,5,1,163.0,3.152664359,1,0
Rancabali,2022,3,0.122444227,-0.092838837,1547.445406,16.43354319,346,238.9,6,3,121.2520915,-0.296879501,0,1
Kutawaringin,2022,3,0.354974199,-0.317701692,820.8765728,15.10492506,2194,238.9,5,3,155.8253243,0.23853883,0,1
Cangkuang,2022,3,0.27271729,-0.243493459,804.5197597,10.22103605,3303,238.9,5,3,159.3623188,0.79796976,0,1
Cimenyan,2022,3,0.139628083,-0.105527221,1058.769664,16.23277584,2178,238.9,5,3,155.1276662,-0.255179572,0,1
Cilengkrang,2022,3,0.139059935,-0.101697836,1267.992707,18.34791468,1894,238.9,5,3,155.660599,-0.664309804,0,1
Cileunyi,2022,3,0.130240367,-0.094490533,776.1531196,6.515332993,5988,238.9,5,2,159.3735294,1.625476147,1,0
Bojongsoang,2022,3,0.070371444,-0.034576987,662.4780609,1.035662016,4086,238.9,5,2,162.631412,3.790968509,1,0
Margahayu,2022,3,0.172886614,-0.155271091,665.8208893,2.194574958,11539,238.9,5,2,159.3303352,3.157977982,1,0
Cimaung,2022,3,0.230237824,-0.197924467,1221.676512,16.68690433,1589,238.9,5,3,162.0,-0.36656558,0,1
Pangalengan,2022,3,0.148248904,-0.115976183,1543.804092,15.21209008,797,238.9,6,3,126.6266303,-0.131864104,0,1
Arjasari,2022,3,0.189308614,-0.154822055,979.3344179,13.42380568,1648,238.9,5,3,159.0151506,0.137084124,0,1
Margaasih,2022,3,0.140068915,-0.120956744,681.4573232,3.861005696,8175,238.9,5,2,162.9259882,2.112364882,1,0
Banjaran,2022,3,0.252151127,-0.225186103,948.4412612,11.16871853,3122,238.9,5,3,160.4325031,0.505964598,0,1
Pameungpeuk,2022,3,0.298810697,-0.274871148,673.561656,3.690267493,5885,238.9,5,3,155.0,2.68350985,2,0
Katapang,2022,3,0.255483027,-0.243717153,665.717404,1.871496486,8440,238.9,5,3,155.0076653,2.961533707,2,0
Dayeuhkolot,2022,3,0.055748104,-0.030124651,665.4068291,2.29183804,9719,238.9,5,1,163.0,2.857472714,1,0
Rancaekek,2022,3,0.231173396,-0.184259767,666.9046874,0.897680321,4141,238.9,5,2,158.475683,3.465676392,1,0
Ciparay,2022,3,0.184292815,-0.146197944,808.3387506,7.179002185,3784,238.9,5,3,158.7873709,1.44275617,0,0
Nagreg,2022,3,0.321041376,-0.275055709,948.1701832,14.57481224,1204,238.9,5,3,161.989519,-0.334078354,0,1
Cikancung,2022,3,0.263555527,-0.212608707,859.7409318,9.938946553,2447,238.9,5,3,161.7498766,0.605460607,0,1
Cicalengka,2022,3,0.157494392,-0.113607091,910.5325365,11.93582785,3430,238.9,5,3,161.6721118,0.322039045,0,1
Ciwidey,2022,3,0.236294272,-0.204579288,1311.158545,15.55016913,1812,238.9,5,3,162.0,-0.088959935,0,1
Soreang,2022,3,0.298718388,-0.275088158,825.8017692,10.10348001,4622,238.9,5,3,157.4370907,0.40002523,0,1
Pasirjambu,2022,3,0.155021752,-0.121359849,1541.774459,18.43841422,385,238.9,6,3,138.3243264,-0.537663711,0,1
Kertasari,2022,3,0.117964362,-0.088098178,1749.638028,14.28415806,472,238.9,7,3,170.4975302,-0.142942229,0,1
Baleendah,2022,3,0.147954028,-0.118468129,711.1165148,7.590577608,6447,238.9,5,2,156.0325488,1.811834172,1,0
Pacet,2022,3,0.121065162,-0.093008195,1309.575852,17.96872487,1267,238.9,7,3,168.1317172,-0.442023681,0,1
Paseh,2022,3,0.240657331,-0.196893157,962.1928731,12.00924684,2702,238.9,5,3,162.1861795,0.330842705,0,1
Ibun,2022,3,0.242602528,-0.201084948,1180.999011,14.76833386,1615,238.9,6,3,166.5429231,-0.041591152,0,1
Majalaya,2022,3,0.185060035,-0.150591896,698.3982512,2.917364224,6365,238.9,5,3,159.8874215,1.975385542,1,0
